type,title,location,bedroom,bathroom,size_sqm,price,type_encoded,location_complexity,location_encoded,room_density,bed_bath_ratio,size_category
Duplex,Pay Only 5% DP | Over 9 Years by Tatweer Misr,"Bloomfields, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3.0,3,250.0,3700000.0,5,4,238,0.012,0.75,3
Apartment, your apartment 110m in The Icon Compound,"The Icon Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2.0,1,110.0,1540000.0,3,5,748,0.01818181818181818,1.0,2
Twin House,twinhouse immediate delivery in patio5 with 15% DP,"Al Patio 5 East, El Patio, El Shorouk Compounds, Shorouk City, Cairo",4.0,5,300.0,9870000.0,5,5,149,0.013333333333333334,0.6666666666666666,3
Penthouse,Penthouse In VGK Ready To Move,"Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,3,240.0,4800000.0,7,5,774,0.0125,0.75,3
Apartment,Apartment with installment in New Cairo  for sale,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",2.0,2,130.0,2400000.0,3,4,355,0.015384615384615385,0.6666666666666666,2
Apartment,Amazing Apartment in Prime Location With Open View,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2.0,3,156.0,3300000.0,3,5,291,0.01282051282051282,0.5,2
Duplex,an amazing opportunity own a duplex with best view,"Porto New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,4,202.0,3750000.0,5,5,595,0.01485148514851485,0.6,3
Duplex,Duplex roof Fully Finished in the Jayed New Cairo,"JAYD Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5.0,5,280.0,2800000.0,5,5,416,0.017857142857142856,0.8333333333333334,3
Apartment,Fully Furnished Apartment For Sale In Maadi Degla,"Street 220, Degla, Hay El Maadi, Cairo",2.0,2,123.0,1400000.0,3,4,685,0.016260162601626018,0.6666666666666666,2
Apartment,Apartment for sale 135 m2 finished in The Square ,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2.0,2,135.0,2100000.0,3,5,754,0.014814814814814815,0.6666666666666666,2
Villa,Villa for sale In Lake View L:600 BUE:550 price18M,"Lake View, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5.0,4,500.0,18000000.0,8,5,450,0.01,1.0,4
Apartment,I Villa A Roof Corner in mountain view hyde park,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5.0,3,255.0,5268386.0,3,5,535,0.0196078431372549,1.25,3
iVilla,villa for sale with 10%dp up to 8 years Creek town,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5.0,4,305.0,4500000.0,6,5,534,0.01639344262295082,1.0,4
Townhouse,Penthouse in Lake View residence with catchy price,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,3,160.0,3750000.0,6,5,396,0.01875,0.75,2
Villa,9 Bedrooms | Special Finishing | Pool View | ACs,"Creek Town, The 1st Settlement, New Cairo City, Cairo",4.0,3,180.0,4900000.0,8,4,263,0.022222222222222223,1.0,2
Duplex,200 M FullyFinished apartment near of arbela plaza,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4.0,4,210.0,6179525.0,5,5,449,0.01904761904761905,0.8,3
Villa,own your small villa 270m in stone hills new cairo,"Stone Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4.0,4,270.0,9500000.0,8,5,662,0.014814814814814815,0.8,3
Duplex,Duplex immediate delivery resale at Eastown sodic ,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,3,340.0,5700000.0,5,5,291,0.008823529411764706,0.75,4
Townhouse,Town House for sale at Sodic East Ready to move ,"Sodic East, 6th District, New Heliopolis, Cairo",4.0,3,234.0,4857503.0,6,4,651,0.017094017094017096,1.0,3
Apartment,"For sale an apartment In Arab compound, super lux ","Arabeya, South Investors Area, New Cairo City, Cairo",3.0,3,230.0,2400000.0,3,4,206,0.013043478260869565,0.75,3
Apartment,"Apartment for sale in Rehab, with special finishes","Ibn Rushd St., Rehab City Fifth Phase, Al Rehab, New Cairo City, Cairo",2.0,1,90.0,1700000.0,3,5,408,0.022222222222222223,1.0,1
Townhouse,Amazing Town House With Amazing View In Mivida,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,3,173.0,8800000.0,6,5,488,0.017341040462427744,0.75,2
